Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
de kami jumpe ni dalan gt babai kenalan de go pas nagat ate langsung tembak jadien;;NULL;;;;;;
mbue, khidi khut mek wak ku ni lawe alas, khaun2 ndape2, sante2 be khumah ninik;;NULL;;;;;;
pas Edi aku e dang jomblo ato PE sendikhi lalu kenalen lewat Facebook tekhus lanjut percakpen ni WhatsApp;;NULL;;;;;;
kenagen aku dang cut imbangku hayak pepelin melelo;;NULL;;;;;;
sehik malet kehajang kas belanje ku;;NULL;;;;;;
nangko uso, laus me lawe matang balik,en ne siap magrib mengasi ma,e khut pa,e ngat pekhak;;NULL;;;;;;
sulangi ma'e ku mangan, antat Ken pa'e khut ma'e ku me sekolah;;NULL;;;;;;
khidi telanjang waktu pas udan wakhi khami kalihen;;NULL;;;;;;
bermain karet,kelereng,pacuk kidah,degn teman lain nya,dan bergurau khut imbang lain ne;;NULL;;;;;;
niyakh empus kalak buet ken buah buahen kalak khidi khudan;;NULL;;;;;;
melelo Bancih melelo kelekbe v melelo karet;;NULL;;;;;;
ni sayangi kelukhge, kakhne aku kempu pekhtame, bekhe pekhtame dan anak pekhtame ni keluakhge;;NULL;;;;;;
nyohi suakh khidi telanjang ni Lawe kisam khut ni pakhik;;NULL;;;;;;
melelo bancih, melelo gulali melelo karet;;NULL;;;;;;
bue imbang ku ndak munafik, te sendah bage laye lebe;;NULL;;;;;;
dalan ne mlt mejile  cemak mlot sitok v kebesihen ne;;NULL;;;;;;
menyenangken hati amek khut beli baju bakhu;;NULL;;;;;;
saling sindheg sindeghen,teghus ghubat ,betumbuk;;NULL;;;;;;
ketekhe pekhubaten biasene ni mulai sepekhi pekhubaten anak anak mude;;NULL;;;;;;
kenangen paling get ate ku waktu cut melelo ni jume;;NULL;;;;;;
mebahan tekhus gakhami sen, kheken be jabu, kae si pokhlu bantu;;NULL;;;;;;
melelo memotoren kumbahk main sak2 melampu sambil lqnggi;;NULL;;;;;;
Letun letun di hudan lot hudan wakhi gat khidi nampukh ni lawe gotak;;NULL;;;;;;
Melelo khut imbang main kelekheng khut melelo masak masak en;;NULL;;;;;;
kami jumpe ne facebook pul edi ceting catingen gat nyaman gat jadien gat sayang;;NULL;;;;;;
kenangen melelo khut imbang, jumpe khut awok ku sendah malet nange;;NULL;;;;;;
letun letun khudan wakhi nakpuh nampkuh lawe kisam;;NULL;;;;;;
melelo khut ayah khut mamak jep wakhi ni tempi ayah khut semohi ayah;;NULL;;;;;;
te sendah palingen te malet belanje aku nuko se te malet sen kae si let pangan;;NULL;;;;;;
khut i ye me jume pul edi tasak i imbang nakan ni jume;;NULL;;;;;;
pertemuen ku khut ye malot nda nie khancane Ken jumpe Ken Kane jodoh kadang nu  mekesan emang tapi mlot can Kane kukap kune gat jumpe nie pajak pagi tekheme mekesan ne Amek- Amek  amin hayak v malot Khami;;NULL;;;;;;
kenagen si malet penah tekhlupen khidi ni lawe alas  khut imbang;;NULL;;;;;;
kenangan ne penah nangko Mangge khut uso kalak gt gupuh pung ne;;NULL;;;;;;
cakhe ku nepuhi kae si aku ukhok, kae si kene sukhut aku bahani;;NULL;;;;;;
malet aku hadi pe edi, mbue tong jeme lebihen hadi akhi;;NULL;;;;;;
kanangen mase tekhindah ni mase cut ku ielah melelo khut imbang ku dan main main masak- masak en kami khut- khut;;NULL;;;;;;
Die pas cut  malot ku bahas alas Sendah go Belit ku toh bahase alas kite;;NULL;;;;;;
khut serta kae pe si ni pekhintahken mek uwak te pul Edi bahani koje khumah Kane Ndak mengas Amek te;;NULL;;;;;;
ulang jahat, ulang macam-macam ni luakh Kane ulang side pening;;NULL;;;;;;
nempuhi mebahan sesekali tempuhi mekhe sen me khang tue;;NULL;;;;;;
melelo khut ame khut pae malet tekhlupeken  ato pe khut Abang ku;;NULL;;;;;;
galau aku soh seminggu malet pakek mangan mejakhe bahan ne;;NULL;;;;;;
lelo kakhet lelo berbi siap di lelo masaken pul Edi gakhami bahanen Kase ni leloken bage bunge atau Bulung Bulung lain ne;;NULL;;;;;;
me bahan kami de dak tempuhi me was ate kite gato kite;;NULL;;;;;;
kenangen ku melelo khut imbang ni lawe dan melelo khut ayah mae;;NULL;;;;;;
gakhami sen khe ken se ne me mae kase let sen tambahen;;NULL;;;;;;
biasene aku mengekhjaken pekerjaen khumah, bage nyapu, ngepel, masak, basuh pikhing;;NULL;;;;;;
ketekhe pekhasaen ketike ni tadingken jeme si ko sayang;;NULL;;;;;;
masuhi pikhing nyesah baju khut suakh pul edi nyapu khumah n;;NULL;;;;;;
hanchk khut kecewe pekhak khut mesui ate;;NULL;;;;;;
tempuhi kae si biakh bahanen,contoh ne bage masuh pikhing,nesah,dan lain sebagai nya;;NULL;;;;;;
perbue lah ibadah sebelum menghadepi se kase let bakal akhirat te;perbanyak lah ibadah sebelum menghadapi biar ada bakal akhirat kita;NULL;;;;;;
kami gridi d lawe manatang melelu patok lele melelu perenjis bue tule lelowen ne;;NULL;;;;;;
malet sedih pe biasa pelin, malet mesui ate ku, kakhene bue simpanen ku;;NULL;;;;;;
gakhami bahanen habis edi nabung sitok sitok;;NULL;;;;;;
ato be kae masalah ne te nemu ni bantu tawakhken kae si lot bangku ngat kheken mbane, adi akhi cakhe ne;;NULL;;;;;;
amie sedih ne kune gat datang ate ne apekah gegare ak dak mehahkte;;NULL;;;;;;
sui ku kap te ni tading ken  khamah ku uwas kin da te ni tading;;NULL;;;;;;
Biase pelin ,malet sedih p malet pot tangis pe bahanne;;NULL;;;;;;
ni tadingken khamah khase ne biase plin kukup,  malet gat tuso pekhak;;NULL;;;;;;
tekhek nale me was ate pekhak Ken be pul edi maso iget nage;;NULL;;;;;;
pekhaseen sedih pasti let ni khaseken apabile tekhjadi tebeken dikhi kite;;NULL;;;;;;
de belanje ni pasakh de Tabo Nemu tawa Haghe sakyuh e bemue macam sakyuh Nemu pilih Nate sakyuh mukhah tule Haghe ne v mlot mahal mahal baghe ni mol e;;NULL;;;;;;
dapet bermain bersama sama dengan  teman sebaya;;NULL;;;;;;
ucapken innalilahi wa innailaihi roji un dan doeken iye;;NULL;;;;;;
biakh aku mate karne mange let amal ibadah ku;;NULL;;;;;;
malet kae kakhene mange mengalami kematien;;NULL;;;;;;
pade saat kiamat malot kae pe nange si nemu kite bahani selain nimai timbangen amal te;;NULL;;;;;;
selukhuh kalak geluh kekhine go pahe mate;;NULL;;;;;;
ketekhe pekhasaen kenin ketike ni gato sebuakh ke matien;;NULL;;;;;;
de edi wajip kite pecaye i karna edi rukun iman bagas agame  kami;;NULL;;;;;;
te ditanya te tadingken khamah was ate palingen pekhak;;NULL;;;;;;
me biakh kakhene mange cukup amal nggeluh ni dunie nde;;NULL;;;;;;
pandangen ku tekhadep kematien ialah ulang pokus si medunie kakhene kite v mate nge sudah ne;;NULL;;;;;;
begende aku malot Penah mekhase Ken se tapi de Kate - Kate nie tading Ken pahe nge mesui ndi  mesui ate go pahe pasti ndi  Kane lagi v buwe kidah tentang lagu mesui ate ato v mesui ate;;NULL;;;;;;
si penting siapken plin amal ibadah yang baik;;NULL;;;;;;
khase biyakh khut kiamat pasti let ni dikhi manusie kekhine;;NULL;;;;;;
tobat,perbaiki sembahyang mu dan khajin mesedekah;;NULL;;;;;;
bia aku te kiamat edi kase senahen aku sembahyang;;NULL;;;;;;
pertame jumpe ni khoh okhang tue ne mekhumah nebut ken sikel jadi pemain ne nine aku untuk anak ne siap edi ni jumpe ken keluarge ne aku khut anak ne siap edi saling tukakhen nomor hp kami;;NULL;;;;;;
sebenar ne lot khase mebiar ku de mecekhok mate tapi kae PE cekhite ne de mate e pasti khoh Bante Edi Kase mbue ibadah;;NULL;;;;;;
ketike kate kiamat  muncul khasene biakh melet mebiding;;NULL;;;;;;
pastine biakh kakhene amal ku mungkin Kane malet bue;;NULL;;;;;;
malet kadepe,malet uwas ate ku,mebue tong anak laki;;NULL;;;;;;
wajib melayani suami khut ngurus anak anak ne;;NULL;;;;;;
kiamat emang lot tapi sebelum kiamat sembahyang, masihi kalak;;NULL;;;;;;
biaa aku, bia aku di tinggal amek ku, klurge ku, mange cukup amal ku, mange cukup iman ku;;NULL;;;;;;
bekhusahe menghibukh dikhi kane segekhe lupe khut dirikh ne;;NULL;;;;;;
Biakhlah te kiamat ise ndak biakh wakhi kiamat;;NULL;;;;;;
mebiakh aku karne mange cukup amal ku karne malet sembayang;;NULL;;;;;;
edi go ni jelasken ni bagas alkur an kiamat dan kematien pasti akn datang tapi masalah tempat dan waktu ne tuhan nentu ken se;;NULL;;;;;;
awas ate ku te malet ye sukhung bangku iklas ken pelin ase;;NULL;;;;;;
malet was ate ku sitok pe, malet kane aku sedih pe, de mlt lot pekhasen ku bane bue tong cadang pe kae si wasi;;NULL;;;;;;
hal si wajib, Kase laki betah me bekhu ndak pepelin cekhe;;NULL;;;;;;
jumpe ni gotak silayakh gat mecekhite panjang lebar;;NULL;;;;;;
benlanje i behu sayangi iye pul edi khe ye belanje;;NULL;;;;;;
aku mekhase biakh kakhene ngidah sikse en nie api nekhake e;;NULL;;;;;;
de edi tanggung jawab ne belin kase gasuh anak khut suami ne;;NULL;;;;;;
mlet nge kutoh nda sebab mlet nge aku me bekhu;;NULL;;;;;;
tanggung jawab istri e lua biase bue ne mulai masak bersiken rumah jage anak dan bue tule;;NULL;;;;;;
Ulang  biakh kane kite beriman  me metuah kite;jangan takut supaya kita beriman dengan tuhan kita;NULL;;;;;;
tukhuti kae te laki e,ulang bahan ye munyang ate bamu dan taati iye;;NULL;;;;;;
main khut imbang nampang khubat  aduken gat ke mamak;;NULL;;;;;;
tanggung jawab akhus nukhuti laki ne anak ne khe ne mangan laki ne v tule akhus mejile mecekhok mejile me kluakh ge mejile me tetangge mejile bahan ne mengket laki ne;;NULL;;;;;;
ni kampus kami jumpe de adi kami khut khut kuliah;;NULL;;;;;;
senang ne ndak melilah kakhene iye imbang cekhite ku sendah nde;;NULL;;;;;;
sangat bertangungjawab bue bahanen ne ni khumah tangge;;NULL;;;;;;
de tangung jawab istri ukhus anak masak pul Edi siap ke makanan bosih khuamah dan lain-lain;;NULL;;;;;;
pendapetku tentang tanggung jawab isteri ialah mematuhi laki ku;;NULL;;;;;;
bekhu hakhus menukhuti kate kate nak laki;;NULL;;;;;;
petame ato be iye mahan kite, te iye baik mbante atau pe iye timbal mbalik mbante bakhu edi sahabat;;NULL;;;;;;
malet da ku toh aku p mange me bekhu bage Kalak si nggo kawin no;;NULL;;;;;;
kematien e adalah pelajakhen untuk selukhuh umat Kase lebih hati hati Bagas ngeluh;;NULL;;;;;;
dak wayang senang ne ate jumpe rut imbangku kale;;NULL;;;;;;
di pertemuken secakhe tetibe oleh Allah SWT;;NULL;;;;;;
khe ye mangan bersihken kas ne khut badan ne;;NULL;;;;;;
te terjadi kiamat bia nepek aku dak melilah karane di runtuh ken bumi de;;NULL;;;;;;
kune menukhutmu tentang tanggung jawab sebagai bekhu?;;NULL;;;;;;
ketekhe perasaen mu tentang petangung jawapen ketike menjadi seorang amek khumah tange;;NULL;;;;;;
menyucii pinggan, nyapu khumah bersihin khumah;;NULL;;;;;;
Buah sekolah kami khut melelo gat akrab khut iye gat soh SMA p;;NULL;;;;;;
patuh me laki, jage khege dikhi keluarge laki, dandan untuk laki te;;NULL;;;;;;
khe mangan ulang khe melalakh kahe kolu bage manuk kae;;NULL;;;;;;
tanggung jawab jadi bekhu kalak memang bekhat,sebab bagas mendidik anak pasti anak bekhu akhi kekhine,makane kite hakhut khayak belajakh;;NULL;;;;;;
membosihken ne karna de dak bosih iye kan sakit khut khe iye man;;NULL;;;;;;
palingen khidi Ken khe mangan khe minum jage kesehaten ne;;NULL;;;;;;
malet da kutoh da te masalah edi kakhene aku mange Nikah;;NULL;;;;;;
mejile pelakhe, ulang pepelin pok-pok i;bagus pelihara jangan asik pukul pukuli ;NULL;;;;;;
khe mangan, khe minum, khidi ken lajang lajang ken jep bon;;NULL;;;;;;
bia aku te mlot kidh amal v ghe sembahyang v kadang tading tading puase v kadang malot kune me nale di bue su dose v te v mlot pot mekhobah kidah;;NULL;;;;;;
khe mangan masihi iye setiap waktu makan;;NULL;;;;;;
mele mele jumpe khut imbang te ngo dekah ngo ndak jumpe;;NULL;;;;;;
khe mangan minum ne jage plikhe mbah mkn ye kase ndak melohe;;NULL;;;;;;
membosihken khut menyiram khut membekhiken mangan;;NULL;;;;;;
khe mangan khe daun khe poding si polu kalihen;;NULL;;;;;;
jage mejile re mangagn dan peridi bosihi kandang ne;;NULL;;;;;;
khawat mejile khe ye mangan contohken ye si mejile e;;NULL;;;;;;
cakhe ne petame batasi anak khut lingkungen bukhuk, main hp;;NULL;;;;;;
kasih sayang kite me anak mengasii de iye salah ulang papas ii;;NULL;;;;;;
bosihken iye pul Edi bosihken kandang ne ulang lupe khe mangan de Ndak mangan ne mate nahan iye;;NULL;;;;;;
istekhi malet akhus nyesah atau masuh pikhing biasene Nemu nak laki pe Mak akhus istekhi;;NULL;;;;;;
nyesah baju,basuh pingan,jage anak,tasak i nakan;;NULL;;;;;;
kematien ne adalah pelajakhen untuk selukhuh umat ni dunie nde make Edi pejile i amal ibadah te;;NULL;;;;;;
khe mangan khe ken pendidikan jage dengen baik;;NULL;;;;;;
seorang bekhu e sekalak jeme si penting mengatukh ni sebuah khumah e si melakuken kekhine untuk keluarge ne mau dakhi anak khut suami;;NULL;;;;;;
cakhe mekhawat binatang ni pekhatiken paganen ne setiap magat ni jage mejile;;NULL;;;;;;
pekh tame akhus let kas medem ne let makanen ne akhus kite khawat akhus kite khe mangan;;NULL;;;;;;
pelakhe mejile,sebab anak penekhus bangsa;;NULL;;;;;;
hakhus pembosih, ato anak, khidi Ken, khe mangan;;NULL;;;;;;
sayanggi ye ulang mengasi ,pul edi khidiken khut medem ken;;NULL;;;;;;
mlet kutoh nda sebab mlet nge anak ku jadine cakhe ngekhawat se mlet kutoh;;NULL;;;;;;
pake mesin iye te endak apelit potne geluh;;NULL;;;;;;
nie khidiken tekhus nie khe mangan nie bersihken;;NULL;;;;;;
malet me sahabat cukup imbang pelin kakhene bali kane edi;;NULL;;;;;;
cakhe melihara hewan biase be khe magen telur kali sewakhi khut besihken hewan ne e;;NULL;;;;;;
de merawat anak e bosihken pekhati ken man ne de dak gat bau iye;;NULL;;;;;;
Khe mangan ye khidi ken ganti baju ne medem ken iye pekhak tempi;;NULL;;;;;;
KHIDIKEN PUL EDI SABUNI BADAN NE TEKHUS PAKEK ANDUK KHE TULE BEDAK KASE MEKHIUM;;NULL;;;;;;
membekhiken mengan khut mengurus dengan ne;;NULL;;;;;;
malet nge pung anak aku kune aku jelasken SE malet paham aku te anak kalak;;NULL;;;;;;
ulang peluah pepeli melelo perhatiken kegiatan ne;;NULL;;;;;;
mebiakhah aku te malet nge amalen ku pakse aku khajin sembahyang;;NULL;;;;;;
khidi ken pakek baju ne bedak i de pekhak ye khe susu ato pe mangan;;NULL;;;;;;
petame male male aku jumpe die, tekhoss jadi imang ku, teros aku pe jadi imbang ne;;NULL;;;;;;
kite khidi ken be anak si kite ukhus pul edi bekheken susu be iyee;;NULL;;;;;;
petame mele mele aku jumpe khut ye die, tekhs aku jadi imbang be;;NULL;;;;;;
Bagas m bahan kite hakhus persiaoken tenage khut matekhi kae si kite khancang selanjutne;;NULL;;;;;;
ketekhe cakhe Lenin menjage anak anakkkkkkk;;NULL;;;;;;
menjaga sianak agar tidak menangis memberi makan dan minum;Menjaga anak tersebut agar tidak menangis dan memberi makan juga minum ;NULL;;;;;;
niwokh, taboh khase lawe ne khut isi ne, mende khasiat ne;;NULL;;;;;;
khutung buah paling aq get khase ne taboh melemak mis;;NULL;;;;;;
semangka ,kakhene debsemangka ee,pas hangat wakhi Bogoh khase ne mume untuk daun hangat;;NULL;;;;;;
ketekhe nenin cakhe ngekhawat anak anak?;;NULL;;;;;;
Setiap wakhi  kite kheng pangan me hewan te tule ulang lupe  kite khidi ken hewan  die;;NULL;;;;;;
kae buah si kau sukai, kae gat mu kau sukai;;NULL;;;;;;
anggur kakhene buah ne taboh khut sehat bahan ne;;NULL;;;;;;
buah kesukaanku alpokat karene kae taboh kukap khase ne;;NULL;;;;;;
mangge kakhene mangge e let macem ne let mis ne bage se taboh plin gedi;;NULL;;;;;;
buah nanas kakhene mis khut segar bue giji ne;;NULL;;;;;;
Khutung,kane ye taboh langka tule setahun sekali amin mebuah pe;;NULL;;;;;;
harus kite disiplin, khajin, jujur, Kane kite Ndak munyang ate kalak;;NULL;;;;;;
ketekhe cakhe kenin menjage anak anakkkkkkk;;NULL;;;;;;
kakhene kite Tawe, senang ate te mege se;;NULL;;;;;;
ulang males jadi manusie ulang kisat tempuhii mek mebahan;;NULL;;;;;;
memekhhatiken hewan, khidiken hewan, khe mangan;;NULL;;;;;;
buah khutung Kane buah khutung tekhutung tekhidah en Amin luakh ne medukhi tapi nde isi ne abeyyy bahan ate senang  miis isi Bagas ne ulang gat kuling ne pangan nahan gat bahaye;;NULL;;;;;;
MANGGE , KAKHENE BUAH NE MIS NI TAMBAH TULE TE PAKEK KECAP KHUT SIKHE;;NULL;;;;;;
buah nagie khut apel akgur pe  kahene iye taboh;;NULL;;;;;;
mangge bacang uso lqngsat ngete nangke cempedak;;NULL;;;;;;
buah apel karna taboh man se buah akhi taboh gakhmi se;;NULL;;;;;;
cakhe ku mekhawat hewan peliharaen ku ialah kukhe ye mangan dan ku bahan kas ne medem;;NULL;;;;;;
galuh  kakhene sedapp pelin, mantap pelin, enak pelin;;NULL;;;;;;
khidi ken ye pul edi khe iye mangat pul edi kheken ye melelo;;NULL;;;;;;
biase ne kalak gedi dang senanh ate te makanne cekhiteken be bante;;NULL;;;;;;
buahen si get ate pokat, kahene taboh melemak mis tule;;NULL;;;;;;
kedondong kakhene kendondong e mebue mbuk ne khut taboh isi ne;;NULL;;;;;;
Galuh ,kakhene nemu bahane lancakh pencekhnaen;;NULL;;;;;;
buah si get ate ku limomanis,kakhene iye khayak mengandung lawe;;NULL;;;;;;
kahene dang senang ate ne dang bahagie ye;;NULL;;;;;;
Kane get ate ne senang kap ne edi kase p gat senang iye;supaya suka hatinya senang rasanya itu biar senang dia;NULL;;;;;;
karne malet pas bage ate neee kune ken mengas iye;;NULL;;;;;;
mangge kakhene darkhi bue ne buah edi amin si taboh ne ku kap;;NULL;;;;;;
kahene pengalen ne kadang ni wakhi Edi khami kap ne;;NULL;;;;;;
untuk bahan kalak senang walau pe malet tuhu si ni ungkap ken ne e;;NULL;;;;;;
Galuh,kaghene Galuh Nemu melancarken pencernaen;;NULL;;;;;;
kakhene te sok bacakh padahal malet toh ne Kade p;;NULL;;;;;;
buah si get ate ku buahen khutung kakhenen taboh tebal tule isi ne;;NULL;;;;;;
kakhene iye dang bahagia Edi Kase kae PE chekhok ne pasti chihem iye;;NULL;;;;;;
kakhe kukhang ye ngekhti dan iye pekhlu jawaben si iye mudah pahami;;NULL;;;;;;
karene dak sesue rut pendapet ne jadi nye malet nerime;;NULL;;;;;;
mungkin kakhene lot salah ato pe kae si dak get ate kalak;;NULL;;;;;;
nde ato ne salah, sebutne Kane pudi pagi go mende;;NULL;;;;;;
ketike anak cut perakh kite sip ken ulang perhak nange nak ku amek ereh nahan bombon nahan nu;;NULL;;;;;;
jagung,,,kakhene taboh amin gakhamen nenge v khase ne taboh Kane;;NULL;;;;;;
rak uso ,kahena memiliki daging yang manis;;NULL;;;;;;
sendah teknologi engo canggih kae pe Nemu ni behani;;NULL;;;;;;
kakhene buah semangka hayak lawe ne baik untuk kesehaten;;NULL;;;;;;
kae kane Kalak dhi ngateken si nyenangken?;;NULL;;;;;;
malet get ate ne malet pas ni ate ne makane ye pekhotes;;NULL;;;;;;
kene kae seorang kate ken tentang menyenangken;;NULL;;;;;;
buah Mangge,buah khambuten ,kakhena taboh;;NULL;;;;;;
let pelajakh en geluh ni adi kase jadi get ate ku ngato se;;NULL;;;;;;
apel kakhene rase ne sedap khut manis khut sehat bagi tubuh kite;;NULL;;;;;;
nde pekhotes me let alasen ne let masalah ndi nie  Kalak e pahe let salah ne Kase kite gat pekhotes;;NULL;;;;;;
sebab pekhotes e tekhmasuk sipat manusie tebeken jeme;;NULL;;;;;;
Malet pas kap ne ato pe malet bage ate ne edi kase p pekhotes iye;;NULL;;;;;;
KAKHENE KHE KEN SEBUAH AHAKHEN , ATAU PE KAKHENE KESALAHAN NE;;NULL;;;;;;
kakhene iye mengas be jeme si mengas e edi makane iye pekhotes;;NULL;;;;;;
kahene kalak malet cocok ni ate ne edi me iye pehotes;;NULL;;;;;;
biase be kalak gedi malet senang ye terus malet puas ye dengan hasilne;;NULL;;;;;;
kane iye nangat  me kite;karena diya suka kepada kita dan dia menyukai kita;NULL;;;;;;
kakhe ne de Edi sebut ne,Bogoh ate PE,mlt let cemelh Cemeng ate bhn ne;;NULL;;;;;;
buah apel, kahene iye taboh  dan mejileeee;;NULL;;;;;;
permain ne ganteng khut mejile dan cekhite ne seru Edi Kase get ate ku nonton se;;NULL;;;;;;
drakor kakhene anak laki ne ganteng ganteng khut cekhite ne mantap khami cekhite ne;;NULL;;;;;;
bage pank kalka gile pul Edi Kalak petinju khut Kalak;;NULL;;;;;;
mekhimbang khut ise v ulang pilih pilih jadi jeme;;NULL;;;;;;
petame kite khe iye mangan trus tempi iye ayun iye;;NULL;;;;;;
cakhene hakhus kuat mental Kase berkembang bagas hal kae pe;;NULL;;;;;;
suami peganti Edi totonen paling aq gt ni Hadi mas saka khut alur cekhite ne;;NULL;;;;;;
me usahe sunguh2 dan ulqng lupe pido be tuhan;;NULL;;;;;;
jehuk, khakhene bue protein ne bueeeeeeeeeeeeeeeee;;NULL;;;;;;
Bahani kae si senang ateku kae si get ate ku edi ku bahani;;NULL;;;;;;
kakhene mejile jemine ganteng tule khami tule pelem ne pe;;NULL;;;;;;
memiliki alur cerita yang menarik dan bagus;memiliki alur cerita yang menarik dan bagus;NULL;;;;;;
kakhenen iye emosi, mengas, ngajak bekhantam jadine bekhantem ko toh;;NULL;;;;;;
tentang ma'e pa' keluakhge kekhine, ngajakh Ken ulang melawan me khang tue;;NULL;;;;;;
khidi Ken ye be siap pakek Ken baju ne pakek Ken bedak minyak Kase mekhriyum bosih dak nai bau khut cemak siap Edi khre ye mangan sulangi ye mangan siap Edi medem Luhu Ken kase dak tangis ulah ne de gho buet pate ye melelo khut imbang ne siap Edi de gho bon wakhri khidi Ken tule de mace ye antat Ken mace se gho balik mace meden Ken ye;;NULL;;;;;;
adegan-adegan menatang bue pengalamen v let pelajakhen ne v;;NULL;;;;;;
BELAJAKH TEKHUS MENEKHUS TANPA HAKHUS PAKEK TADI;;NULL;;;;;;
kae plin si Kao sangati Dakhi atoen favokhitmu?;;NULL;;;;;;
kae pelin kao sukai dakhi tontonen sebuakh jeme si kenin get;;NULL;;;;;;
akhus pergaulen metambah pengalamen v akhus nie kembang Ken  akhus ukhok mecekhok khapet me teman;;NULL;;;;;;
cakhe ne gakhami pengalamen ni luar dan ulang lupe belajar lebih giat tule;;NULL;;;;;;
ulang plin mengas jage kesopanen ulang telat;;NULL;;;;;;
Spongebob Squarepants,kaghene  iye dapet menhibug;;NULL;;;;;;
film ne tekadang lucu sedih makane get ateku me tontonen si ku tonton;;NULL;;;;;;
te aku suke tonton filem upin dan ipin pelin daboh filem ne;;NULL;;;;;;
Gaham be pasang kite bakhu gat kite kawin me pasang kite die gat;;NULL;;;;;;
dalan Ken si hal positif ne,ulang bue bue bage,geken ajakhen khang tue;;NULL;;;;;;
selengi be lokasi ne te mantap imbang mu kite kembang ken te imbang mebahan dak pas malet te kembangken;;NULL;;;;;;
seru, mlt bosan ngato se kakhene get ate te filem ne;;NULL;;;;;;
jekhuk kahene poretein ne buweeeeeeeeeee;;NULL;;;;;;
Bahani mende ato mejile bahani bahanen ee kase berkembang iye;;NULL;;;;;;
hakhus bacakh untuk mekhancang kae si hakhus kite adaken untuk perusahaen kite;;NULL;;;;;;
film paling get ate ku film India te khami cekhiteken peran ne pe su;;NULL;;;;;;
menukhut ku kalak pekhotes e  kakhene kukhang tepat menukhut ne, edikase ye pekhotes kae si sebut imbang pecekhok ne;;NULL;;;;;;
menkhubah pikiren khut mekhubah dikhri Kase mende;;NULL;;;;;;
peliharhe hewan khut mekhe mangan ne khut minum ne;;NULL;;;;;;
ee mbue mangan khut mbue imbang pepelin lajang ulah mbue gat mekhimbang;;NULL;;;;;;
balap bah honda ulang lupe pakek helm kase aman soh me bedih;;NULL;;;;;;
ketekhe kandu dapet mebahan dikhindu kembangne;;NULL;;;;;;
kune nimu mahani kas mebahan mi Kane mekembang?;;NULL;;;;;;
kakhne malet puas atas pelayanen, ataupe malet mendapetken hak ne;;NULL;;;;;;
hakhuh giat nde mebahan, ulang mokekh, gekhe buet medem;;NULL;;;;;;
"mekhe Ken ide"" khut promosiken kas bahan ku ndi me klk lain";;NULL;;;;;;
pekhateme akhus siap Ken be baju baju pesan tiket babe baju renang;;NULL;;;;;;
bue tuko buah pul edi mangan buah kane let tenage gat let perkembangan ni tubuh te;;NULL;;;;;;
cakhe ne kite hakhus let kendaraen pribadi;;NULL;;;;;;
te ni cane malet pantai Lawe alas amin cakhe ne mehonda ne soh me kas tujuan te;;NULL;;;;;;
jinto honda ato pe motohk de gat medalan dape me pet soh;;NULL;;;;;;
jinto motokh dakhami dalan si malet macet;;NULL;;;;;;
ketekhe cakhe kenin gembang ken kas kenin mebahan;;NULL;;;;;;
mendisplin, khajinn, taat pekhatukhen, patuh khut bos;;NULL;;;;;;
De len Honda pake edi gat kite laus me pantai die;;NULL;;;;;;
khapi mende ato pe mejile pake pewangi tule bahan kase mekhinum kasepot kala bende;;NULL;;;;;;
belajakh khak pengalaman si nggo ni lalui untuk memperbaiki dikhi kedepanne;;NULL;;;;;;
kerja kekhas bahani kae v kase berkembang bahanen;;NULL;;;;;;
malet ku toh, semoge aku sukses Kane bangge khang tue ku;;NULL;;;;;;
mepesawat ulang letun te letun payah mbiayakh aku gat mate ni dalan;;NULL;;;;;;
Drakor de Nemu senenakhen ku ato de pul Edi lot nange nonton tv;;NULL;;;;;;
mebalap mekhonda ulang selengi kiri kanan lanjut plin ulang tadi tadi;;NULL;;;;;;
bahan ye bosih ulang cemak de cemak idah klak mlot gin Kalak nuto se kae pedamuh idah Kalak taboh ye bahan kue e kite v ulang cemak khidi be kite Kase bosih idah kalak;;NULL;;;;;;
si tekhjadi tebeken dikhi Ndak salah masa depan cekhah atau ndak;;NULL;;;;;;
khut bace buku agar bue pengalemen dan bue mangan;;NULL;;;;;;
semoga insyaallah aku maju masalah ku mekukhang let bahanen;;NULL;;;;;;
INSYA ALLAH SE IJIN ALLAH AKU SUKSES DAN AKU BAHAGIEKEN AMEK KU;;NULL;;;;;;
siap Ken kae si kukhang ni kas kerja te e de ngo kite toh make kite bahani;;NULL;;;;;;
kae si tejadi bamu due puluh tahun si Kho no?;;NULL;;;;;;
aku nate ku ken sukses kane taboh geluh dape pe laus taboh let sen;;NULL;;;;;;
kae yang tekhjadi khut aku due puluh tahun muke;;NULL;;;;;;
aku nangat geluh taboh serba berkecukupen, pung keluakhge bahagie;;NULL;;;;;;
langkah khazeki petemunen maut mlet kite toh nge hanya tuhan yg tau;;NULL;;;;;;
mendisplin,khajin ,khamah,patuh ataupe patuh pekhatukhen;;NULL;;;;;;
idih ape me kutoh ,soalne mange ku dalani pe Edi hanya Allah si nentuken se;;NULL;;;;;;
kae pelin tejadi ketike due puluh tahun kemudien;;NULL;;;;;;
cakhe cepat untuk des me pante, kite hakhus cinto motokh dan hakhus kecepaten matokh v hakhus balap;;NULL;;;;;;
jinto motokh pul Edi gas kuat Kase mu gekhe soh;;NULL;;;;;;
