Alas;Indo;Domain
ndak kepe tuhu nietmu die khut akhu mekhumah tangge;;Story/narrative
malet ku toh aku pe bakhu belin mak e mlt pernah cekhite tentang kae pe;;History
bagas bagas bagas bagas bagas bagas khut mejile;;Story/narrative
Nemu membahagie Ken okhang khumah ne dunie akherat;;Story/narrative
si ni butuhken Bagas usahe kesungguhen kite Bagas meusahe;;Story/narrative
kae plin kuliatas jeme pemimpin khumah tengge si hebat;;Story/narrative
mampu Mahan sekolah anak ne SE ndatas mungkin sedangken keadaan ne sebenakhne napih;;Story/narrative
ukokh Ukus khumah,ukokh masih pikikng ,ukhoh masak pokok ne besihi khumah me;;Story/narrative
aku penah ni hine senakhen ni sepeleken agan Kalak Mak tamat kuliah ku,Edi jadi tantangen Ku Kane ku buktikan me Kalak kekhine;;Story/narrative
pendapet ku Mase si akan khoh iyelah kehidupen nde lebih membaik dakhi sendah;;Story/narrative
mu khen belanje be bekhu mu menuhi kebutuhen;;Story/narrative
jujukh iye mu ngatukh keungen Mende bahanne khut jabu be kekhine;;Story/narrative
adil Bagas khumah tangge, metanggung jawab khut masih mekeluarge ne;;Story/narrative
grup iye ngeluhi anak anak khut laki ne khut gup iye nyapu khumah ne pe;;Story/narrative
kae pelin kualitas jeme pemimpin khumah tange  si hebat?;;Story/narrative
kami mesenang até khut imbang imbang ku ni waktu cut kale;;History
kharus khajin sembahyang ukhok mace,masak pe;;Story/narrative
suami si pengertian , suami si baik akhlak ne suke bagi sen;;Story/narrative
pendapat ku ni Mase khoh nde Nate ku bahagia;;Story/narrative
khalak bayak khalak baca khalak menjile khut bayak;;Story/narrative
hakhge dikhi si akhus ni jage, kemalessan, tekanen khak imbang ku;;Story/narrative
ukhok iye bahan khumah tangge ne bahagie dan bekhu khut anak ne peh jd sholih dan sholeha;;Story/narrative
menjage anak memasak mengukhusi khumah kase get kalak khumah;;Story/narrative
mudahen ni wakhi ke depan ne lancakh-lancakh plin ke depan ne;;Story/narrative
si aku butuhkan e sen khut kepercayaan kite;;Story/narrative
lajang-lajang be Pante si mbogoh khut khami;;Culture/Tourism
sen untuk modal ,niat te si polu ne usahe te;uang untuk modal ,dan niat yang paling perlu terutama untuk usaha kita;Story/narrative
medem medem medem medem medem ni khumah khut mebahan;;Culture/Tourism
kualitas khang berumah tangge Edi tergantung kheji ne;;Story/narrative
kae Ale me sip plin khumah te let imbang khaun khaun me te malet medem;;Culture/Tourism
nemu mebahan kae pe untuk menafkahi keluakhge yang penting halal;;Story/narrative
ukhus anak, ukhus suami dan ukhus pekekhjaan khumah;;Story/narrative
yaedi seokhang yang mampu mengukhus segale kepekhluan ni Bagas khumah tangge kakhene selain Nemu mbahani kekhine iyepe Nemu mengatukh sen keluakh khut sen mengket;;Story/narrative
tangkoi pinang kacat Kalak tangkoi khutung kalak;;Culture/Tourism
pepelin medem,masak-masak main hp pokokne kae si Mahan aku senang lah;;Culture/Tourism
khut cakhe menjelajahi hutan belantara di let ni Indonesia;;Culture/Tourism
modal mebue khut tekat mebelin khut khestu ,amek khut awok kas untuk mebahan;;Story/narrative
tah khade khade khun nate natene mbue suh gayana;;Culture/Tourism
melolo khut imbang Sampek lupe waktu Sampek Kene tenggo be;;Culture/Tourism
sambil nggakhami bhahanen kune Kase ulang bhalik mekhuas ate sebhab malet mbabhe kaepe;;Culture/Tourism
saat aku libukh panjang dauh dakhi khumah te khut khang tue gembikhe;;Culture/Tourism
aku senakhen melele khut imbangku,soh digan ku pot;;Culture/Tourism
ngato ngato ni khumah ninik kami sambil khidi khidi;;Culture/Tourism
mu akhah Ken ne keluakhge ne ke dalan si mende ne;;Story/narrative
tegas untuk ngukhus keluakhge sayangi keluakhge nafkahi keluakhge khut wajib tanggung jawab untuk keluakhge;;Story/narrative
waktu libukhen aku gati laus mekolam ngato ikan bekhenang suke laus khumah amek ku medan ni khumah amek ku;;Culture/Tourism
mbiyakh khabut khut imbang ni kute khut keluakhge;;Story/narrative
gembakh,banjekh Edi hamin si ku biah khi;;Story/narrative
medem pelin, melelo hape, nasak i gule , medalan keliling khumah;;Culture/Tourism
malet kompak mebahan kisat khut bue su chehok ne;;Story/narrative
khubat main setengkahen khut malet pet sembahyang;;Story/narrative
kakhena Edi bahan aku bahagia khut senang ni ateku me;;Culture/Tourism
lajang khut imbang setempat dan mengisi waktu untuk belajakh;;Culture/Tourism
si paling mehakhge ku miliki di khang tue;;Story/narrative
pendapat ku si tekhjadi ni masa depan hakhus aku lewati walau pe bue khintangen;;Story/narrative
honde kakhene nuko honde Edi pakek sen sade;;Story/narrative
si paling mehakhge ne kedue khangtue ku;yang paling berharga kedua orang tua saya;Story/narrative
kune cakhe mu menghabiskan waktu libur gedang mase jauh akhir khumah;;Culture/Tourism
hp ku adalah nyawe ku aku mlt nemu geluh de mlt me hp;;Story/narrative
gahami bahanen kase nemu dapet sen kahe nahan balik me kute bue sen kita ke cocok kandu kap mek ku;;Culture/Tourism
ke tekhe kao habisken waktu libukh gedang dang jauh dari khumah?;;Culture/Tourism
malet kade pen gedi gedi plim amin geluh nde;;Story/narrative
ketike tekhjadi salah paham antakhe kepale kute khut masyarakat kakhene dapet menimbulken pekhubaten;;Story/narrative
okhang Tueku  dikhiku khut kesehaten kami kekhine;;Story/narrative
masalah si ku biarken ni bages kute Edi tentang khubat dan narkobe;masalah yang takuti di dalam kampung adalah berantam dan narkoba;Story/narrative
harte si ku miliki si paling berharga iyalah anak sebab anak mahan payah ku te pe empoh;;Story/narrative
hp ku mejile malet kungin pecah pokokne khut kedua;;Story/narrative
aku bahagie kakhe khang tue ku tong kidah senakhen cikhem side;aku bahagia karena orang tua ku masih kulihat selalu senyumannya ;Story/narrative
kedue okhang tue ku si paling ku sayangi khut ku cintai untuk selamene;;Story/narrative
khang tue ku Mae ku Edi si beharga ni dunie nde;;Story/narrative
khang tue hakhte Ku sipaling mehakhge kakhne Edi amin si let ni Bagas geluh ku;;Story/narrative
si paling kukhawatikhken adalah masyakhakat kukhang kompak;;Story/narrative
okhang tue ku khut imbang segekuh ku kakhena Edi bahan SE aku bahagia v;;Story/narrative
nangat menjadi jeme sukses dunie akhirat nahan kelak ne;;Story/narrative
si paling mehakhge bagi ku, kedua khang tue khit keluakhge ku, kakhene de malet keluakhge malet hidup bahagie;;Story/narrative
Bagas Masalah masyarakat paling khawatir aku Edi me pas adat ngembakh biakh aku kebobolen  te khut narkoba;;Story/narrative
Anakku adalah hakhte si paling berharga bagas geluhku;;Story/narrative
aku ingin sukses ni Mase depan ku kae Nemu aku bahagie Ken mamak khut ayah ku;;Story/narrative
aku pot menjadi dosen bahase inggris,si mebuwe sen ne;;Story/narrative
milik ku si paling mekhage okang tu khut saudakhe ku;;Story/narrative
selop te ngo Bene selop Ndak wayang kukap mele ne;;Story/narrative
bage muller pemain sepak bola kase bue sen;;Story/narrative
milik ku si paling mekhakhge bangku adalah okhang tueku;;Story/narrative
care ku kehiken waktu libur gedang ku khut khohi kas wisate  alam dan wisate sejakhah;;Culture/Tourism
khang tue ku khut keluarge ku kahene Edi jeme si ku lot sendah nde;;Story/narrative
milik ku si paling mehakhge adalah kedue khang tue ku;;Story/narrative
aku ingin jadi jeme si Nemu membahagiaken kedue khang tueku;;Story/narrative
naget ate ku jadi Kalak sukses kune Kase mu ku bahagie Ken khang tue ku;;Story/narrative
sedih khut mekhase malang Kane ni tadingken ne;;Story/narrative
aku ingin menjadi khang sukses khut berbakti khut khang tue;;Story/narrative
aku nangat menjadi seseorang si ni sukai banyak dan nemu menjadi dikhi ku sendikhi;;Story/narrative
petame mu bahagie Ken khatue let usahe sendikhi;;Story/narrative
pepelin mepike khut malet nange Pot su ngeluh;;Story/narrative
njadi jeme si Mende pekhasat , njadi kalak sukses;;Story/narrative
de aku nate ngu jadi jeme bayak si dermawan nemu bantu jeme tekhem;aku ingin aja orang yang dermawan bisa membantu orang banyak;Story/narrative
sedih,hancukh Mak tecekhiteken sedih ne khase ne malet nae gune ne ngeluh ni dunie nde v;;Story/narrative
keluakhge ku sebhab Mahan ate tenang laus ndauh pe;;Story/narrative
poet khase ne jadi okang sukses khut berbakti khut okhang tue te;;Story/narrative
mesedih ate bagas geluhku sebab ate kunci semangat geluhku;;Story/narrative
biase pelin,de Nemu akhus jujurk dan maso cekhork Ken si Ndak pantas;;History
sedih ate ku khakhe Kalak si ku sayang bene;;Story/narrative
aku nangat jadi Kalak hebat, si Nemu megune untuk masyakhakat khut keluarge;;Story/narrative
sedih ku kap kane sedih ku kap gedi amain;;Story/narrative
pung ku paling mahal keluarge mek khut Wak ku;;Story/narrative
jelaskhen nimu inginkhen jadi jeme si bage kae;;Story/narrative
laus ke luakh daekhah, laus me khumakh keluarge, dan laus me kas wisata;;Culture/Tourism
aku pasti mekhase uwas ate , payah beneken khase sedih ne;;Story/narrative
pekhak khutbat pepujinen dak ge Ken cekhokh;;Story/narrative
was ate bage malet pot khase ne gelukh v;sedih hati seperti tidak mau rasanya hidup pun;Story/narrative
mengasiku hampikh job wakhi,tah kae si mengasi ne mak ku toh biding;;Story/narrative
mngas²ndak mebiding nakhen banding²ken ank khut ank lain ne;;Story/narrative
khase si aku alami me sui ate khut malet mudah aku tekhime si tekhjadi di;;Story/narrative
Nate ku  aku suksen ,tekhus aku bahagie dunia khut akhirat;;Story/narrative
mengasi ne kite ni Muke imbang te , malet Nemu nai nahan mengas;;Story/narrative
Ndak wayang sedih ne ku kap yah bage kalak gile khase ne te ngo ni tadingken kalak penting ni geluh ku;;Story/narrative
mungkin akan susah untuk ni lupe ken dan sedih akan kelausen ne;;Story/narrative
menukhutmu,kae plin si Kao butuh Ken dang nangat membangun usahe?;menurut kamu apa saja yang kamu butuhkan jika ingin membangun usaha;Story/narrative
hal si paling tidak dewasa menukhut ku si enggo penanh ni lakukan ame uwan ku iyalah melakhang ku sekolah ni luakh pulo aceh nde;hal yang paling tidak dewasa menurut ku yang tidak pernah di lakukan mamak bapak ku iya lah melarang ku sekolah di luar pulo aceh ni;Story/narrative
mlt khe ne aku luakh khumah te mlt khe ne aku luakh bongii;;Story/narrative
khase ne sedih khut sepi kakhene jeme di si Mahan kite senang senakhen;;Story/narrative
dak mentohkan si mejilene be anak ne jd dak wajar gedi ulak ne bage maen sehong;;Story/narrative
pepelin melolo khut imbang Sampek dak lupe waktu;;Story/narrative
nakhen pepelin pekhak kadang melawan me khang tue;;Story/narrative
khangtue khubat ni Bagas khumah ni hadepen anak- anak ne;;Story/narrative
Melelo khut imbang lajang-lajang me luakh daekhah;;Culture/Tourism
menukhut mu kae hal paling ndak dewase si penakh nie lakuken okhang tue mu;;Story/narrative
megasi aku te aku lajang lajang khut imbang ku ,popok ne aku te dekah balik me khumah;;Story/narrative
aku senakhen ceroboh ,tangkang mlt ge ken cekhok orang tue;;Story/narrative
menurut q ulah si Ndak dewase ni bahan khang tue q Edi me mengas khut aku;;Story/narrative
melakhang aku mekhamah khu kau malet side setuju;;Story/narrative
narkoba si mekeliakhen khut kawin mude khut kalak mekhamah kalak selingkuh padahal go let bekhu pe;;Story/narrative
takal me biang ge gakhe kao aku malet mu ngocok ni khumah;;Culture/Tourism
menukhutku kebenen jeme si paling mekhakhge Bagas geluh ku khase ne dunie nde bage kiamat sangkingken sedih ne;;Story/narrative
Soh ke kae plin Lebe budaye Kao si paling Kao bangge ken;;Culture/Tourism
Bagas adat alas budaye paling ku bangge Ken khut aku senangi Edi me pemamanen khut antat takhuh;;Culture/Tourism
budaye si aku banggaken adat alas bage pemamanen si ni lakuken khakng alas;;Culture/Tourism
budaye si ku banggeken pemamanen kakhene daekhah Kalak malet gedi;;Culture/Tourism
budaye alas si paling ku banggeken dakhi aku cut soh sendah;;Culture/Tourism
de budaye kami ni cane nde si paling get ate ku sendah go menutung aurat mayoyitasne;;Culture/Tourism
sesuatu si paling Nemu ni tekhime Bagas sosial adalah dengan cakhe mengembangken keahlien seseokhang;;Story/narrative
senat kakhene Edi sunah rasul ni hakhus ni lakuken;;Culture/Tourism
sampai ken kae plin bagien budaye mu si paling kao banggeken;;Culture/Tourism
budaye alas jinto kude ,mekhaleng nembak khet imbang kami;;Culture/Tourism
si pat si bage anak cut mage dewase su jahang me pikekh ketike melakuken bahanen;;Story/narrative
budaye si paling ku banggeken iyalah budaye pemamanan jinto ku de si nilakukan ni adat alas nde sebab khami ne jeme si jinto kude;budaya yang paling aku banggakan adalah budaya pemamanan naik kuda yang di lakukan adat alas ini sebab banyak orang yang naik kuda;Culture/Tourism
budaye paling meharge Piso mesalut bongok bungge sumbu;;Culture/Tourism
bagien budaye ku si ku bangge Ken iyelah pemamanen, khut Pleng wakhi;;Culture/Tourism
bahase khut budaye ne si mekhagam khut alam ne mejile;;Culture/Tourism
pakien adat , takhi adat , masaken khas khang alas bage cimpe gelame khut adat pemamanen;;Culture/Tourism
pelebat kakhene pelabat jakhang ngo kalak ukhok jadi ne aku akhus belajakh pelebat;;Culture/Tourism
te sukses aku insyaallah ku haji ken okhang tue ku bahagie ken keduene khut bahan keluakhge ku khoh baik ne tule kedepane dan ku khang tue ku bangge bangku;;Story/narrative
mepahukh Kane mbue anak mude si mlt pantas ni lakuken ne;;Culture/Tourism
Pelebat kakhene pelabat  jakhang ngo kalak ukhok jadi ne aku akhus belajakh pelebat;;Culture/Tourism
mengasi khang tue sebab malet ku ngin masuh pikhing;;Story/narrative
senat kakhene Edi hakhus ni lakuken setiap naki;;Culture/Tourism
badaye pemamanen kakhen mengkekhi ken sen mak e khut pak e ku;;Culture/Tourism
sampaiken kae plin bagien budaye kao si paling ndak kao bangggeken;;Culture/Tourism
soh ke kae plin bagien adat Kao si paling malet Kao banggeken;;Culture/Tourism
khubat ni depan khut naku letune letune ni bungku;;Story/narrative
malet buah pe dak bange aq kekhine pe bange aku te budaye ku hakhus ni bangeken;;Culture/Tourism
kakhene aku endak PO khut iye Edi v males;;Story/narrative
mepahukh kakhene Adi khayak jeme mlt me sakhiat;;Culture/Tourism
mbue sendah kalak pekhcaye bhe kabakh si malot tuhu ni media sosial tanpa tekhlebih pikekh lebe, padhahal mbue kabakh malot tuhu;;Story/narrative
budaye si ku bangken ni Edi me budaya khang alas;;Culture/Tourism
senakhen ni sukhuh, dan malet nemu bebas lays khut imbang;;Story/narrative
malet pet ngalah pet menang Sade;;Story/narrative
malet buah pe, kakhene kekhine budaye si let ni adatku kekhine get ateku;;Culture/Tourism
paling ku benci kene khubati aku ni kute;;Story/narrative
malet buah pe kakhene kekhine budaye si let ni adat ku kekhine get ateku;;Culture/Tourism
aku ank bekhu senakhen basuh pikhing,nyapu khumah;;Story/narrative
malet kae pe get ate ku jadi anak bekhu hakhus mesukukh;;Story/narrative
nakhi alas ,nakhi blomesusun nakhi pinggan;;Culture/Tourism
kelok su mangan sen untuk memenuhi se ni sekitakh masyakhakat;;Culture/Tourism
kakhene sendah bue tekhjadi anak Khu si gakhami belanje jadi tulang punggung keluakhge ne de gedi kae gune ne ank laki munyang ate ku ngidah se;;Story/narrative
budaye ku si paling Ndak ku suke iyelah Ndak senang ngato kalak senang,;;Culture/Tourism
kae plin si kao benci tentang menjdi jeme bekhu hut nak ki;;Story/narrative
bue pekhatiren sendah dak pas su kukap khut jd dak jadi contoh be anak mude kite pagi;;Culture/Tourism
mlt kae pe si ku benci kakhene akhus kekhi ne aku sukukhi;;Story/narrative
budaye si endak ku sukai iyalah budaye mepakhuk pemuda pemudi anak khu khut anak laki ni buah khumah;;Culture/Tourism
letun letun letune khut Amek mu khut khamkh mu;;Story/narrative
kae plin si kao sennagie tentang jadi jeme nakhu nakki;;Story/narrative
kae kae plin si Kao munyangin tentang menjadi anak bekhu/na'ki?;;Story/narrative
mengas mengas nakhen jep wakhi Tah ke gedi;;Story/narrative
malet pet ngalah Nate ne menang Sade malet pet mege Ken pendapet Kalak lain;;Story/narrative
nemu jalan-jalan khut imbang ku, jajan mbue;;Story/narrative
paling ku senangi pot kalak ngimbangi aku ni kute khut ni khumah;;Story/narrative
kakhene nak bekhu si paling mehakhge ne;;Story/narrative
hayak ni tandai kalak si mbuwe ni maté masyakhakat umum;;Story/narrative
kekhine budaye penting bagike malet buah v malet penting bagiku;;Culture/Tourism
gedi me si ku senangi aku mu menentuken kae si ku pot;;Story/narrative
paling senang ate ku jadi ank khu kakhene pagi Nemu jadi amek²;;Story/narrative
pake sua ngedang pake baju koko bage ustad;;Story/narrative
de menjadi anak khu edi me paling get ate ku dek ngo lot nenggo mamak bangku;;Story/narrative
kakhene membuet aku bahagie khut get ate;;Story/narrative
sedekh Hane malet pet su megaye malet mentel;;Story/narrative
feminim, lebih megaye nak khu, simple khut sederhana;;Story/narrative
kahene Ndak bekhu si paling mehage ne ni khang alas nde;;Story/narrative
si ku Ndak Pot tentang anak laki Edi me khubat khut imbang;;Story/narrative
jelaken gaye  die bagas berpakaian pilihan mu;;Story/narrative
budaye si paling ndak membanggeken adalah ndak mengikuti pekhatukhen si lot;;Culture/Tourism
khapi,bekhsih,nyaman,khut taboh ni pandang kalak si ntekhem;;Story/narrative
biase plin kakhene pecume kite sapa mlt tandai ne v kite;;Story/narrative
sebhage anak laki aku senang be dhikhiku sebab nak laki sebhage pemimpin bhagas khumah tangge, sebhage pemimpin bhagas kekhine ukhusen;;Story/narrative
mendil mateku mane, kakhene malet ku tandai iye;;Story/narrative
kae v Nemu asal pas ni badan khut menutupi kekhine selukhuh badan;;Story/narrative
tanyak kune kabakh ne tanyak dang kae ye;;Story/narrative
si kusenangi jadi nak bekhu iyelah nak berku sosok si paling mulie, kakhene nak bekhu Kane menjadi ame Kane kelak nahan;;Story/narrative
sudah gedang kiding bekhong baju kaus gedang tangan pakek jam tangan khut pakek topi;;Story/narrative
biase plin aku nenggo se dak gat kucidah ken aku dak get bane;;Story/narrative
kune cakhe biasene kao sapa kalak si ndak terlalu kao sukai;;Story/narrative
khut aku menghume tangge janji janji mu ngo khei ben;;Culture/Tourism
lot iye adi kulah kulah cikhem go laus iye sok tandai ninte;;Story/narrative
kakhena pecume kite sape iye mlt tandai ne v kite;;Instructions
ku atoi pelin gat di laus aku kakhene aku malet pet sibuk jeme ne;;Story/narrative
hal si paling aku senangi jadi nak bekhu kakhene nak bekhu si paling mekhakhge Bagas agama islam;;Story/narrative
Biase-bise pelin kane ndak tekhidah lobakh su;;Story/narrative
budaye bekhu dinem khut silayakh cekhite nage kesiangen let tule telage mekhar batu miwen tule te batu miwen di tempayung let pekhersi ne tule tuguh alas pe tari blu dihe khut takhi saman pe;budaya bekhu dinem sama silayakh cerita naga kesiangan ada lagi telaga mekhati batu miwen klo batu miwen di tempayung ada versi nya pagi tugu alas nya tari blu dihe sama tari Saman pun;Culture/Tourism
tanyak kabakha ne tanyak dang kae ulah ne;tanyak kabar kita tanyak sedang apa kerja kita;Instructions
kune cakhe biasa ne kao sapa si ndak terlalu kao kenal;;Instructions
khut cikhem tipis sesekali tatap mate ne;;Instructions
ndak ku ato pe lewat pelin bage ndak tandai;;Story/narrative
kadang cikhemi plin kadang gat peluah plin,te malet ku tandai;;Instructions
ku sapa pelin iye, tanyak gelakh ne, pul edi gat mekhimbang kami;;Instructions
ni keluakh ge ku Gati mangan mangan tiap Minggu;;Culture/Tourism
de dak ku kenal pasti biase plin aku ngidah se;;Instructions
malet pot su Mechok khut iye te dak tandaii;;Instructions
cikhemin plin kekulah tandadai pul Edi kenalan me nggo tandai;;Instructions
biase ne jeme si Ndak aku tandai cukup ku senyumi pelin;;Story/narrative
maso pot tengo iye pe nange peluah pelin iye mate adi;;Story/narrative
care menyape kalak si malot kenal su iyelah cikhem pelin ke iye;;Instructions
hakhus khajij beljakh, seumbahyang lime waktu ulang penah lupe;;Culture/Tourism
membuet kue jimpe khit kueh ukhum edi dak wayng sedap ne;;Culture/Tourism
selengi plin de atone cekhoi iye dan cikhemi plin;;Story/narrative
mangan khut saling menjaga khut saling menghormati;;Culture/Tourism
cerikhie teken tentang adat keluarga mu bagas die;;Culture/Tourism
bage biase kami me adat alas kae tradisi ni alas gedi me tradisi ni keluakhge kami v;;Culture/Tourism
mlt ku Ngin cekhok i se kakhe ne aku jeme ne pemele;;Instructions
kalak gile e Gati mecekhok mecekhok sade;;Story/narrative
malet mebaju malet me sua malet me khumah;;Story/narrative
kite sesame manusie hakhus saling sape Kase ulang gegakhe citok Sombong Kate kalak kite;;Instructions
aku get ate ku mebaju wakhne biru gelambe;;Story/narrative
gile karene mlt me sen kalak gile malet pot sakit;;Story/narrative
Kalak gile iyelah Kalak si malot toh ne dape banakh khut salah;;Story/narrative
de go iye gile ulang kite pe gile,go di iye plin;;Story/narrative
buet pagi si sekolah laus sekolah si mebahan laus mebahan;;Culture/Tourism
cakhe ne senyum pelin de ndak suke ulang cidahken awe kite pe;;Story/narrative
malet pôt mege ken cekhok khang tue melawan pekhintah khang tue;;Story/narrative
mangan kue, dalan dalan di khumah gat ni minum;;Story/narrative
tradisi keluakhge ku pake adat uwis ulos khut manortor;;Culture/Tourism
Nate Nate ne mecekhok mlt toh ne sopan santun;;Story/narrative
aku paling benci te anak laki nyakiti anak khu malet pakek pekhasaen citok p, te si ku benci anak khu akhi ketike iye lebih mende dakhi nak khu lain akhi iye sombong dan senakhen mekhase si paling mende;;Story/narrative
setekhes kadang kadang kumat malet memiding;;Story/narrative
tradisi keluakhgeku de dang khut mangan malet Nemu mencekhok pokus plin mangan;;Culture/Tourism
imbang bahan tawe kane kita malet nange sedih;;Story/narrative
setekhes kadang kadang kumat dak memiding;;Story/narrative
hal si Mahan aku dak nange tangis Edi nonton anime atau pe nonton film kartu;;Story/narrative
malet me pakeen dalan malet me akhah malet metujuen;;Story/narrative
dang khaye idul Fitri salam salamen khut keluakhge;;Story/narrative
kene khe sen khut kene tuko ken mbaju bakhu;;Story/narrative
khidi khut anku ni Bagas Lawe angkat pot kandu;;Story/narrative
cekhite lawak te tawe nahan ne jadi mlt nae tangis tawe nale;;Story/narrative
kakhene mbue su pikhekhen menyebab Ken jatuh ne gile;;Story/narrative
suakhe musik khat seumbahyang lime waktu khut m membace al Quran;;Story/narrative
kene mengasi Kalak di  aku sayanggi khut Mahan sui ate;;Story/narrative
kahene bue ne pikihen si tanggung ne menyebabken iye jatuh gile;;Story/narrative
kakhene khabut jadi Anek bekhu Edi v khibet su;;Story/narrative
jeme si malet waras dan malet toh ne biding;;Story/narrative
de ngo aku tangi nate ku lot si mekhe sen kase ndak tangis aku nange;;Story/narrative
hal si nemu mahan kite berhenti tangis iyalah dengan cakhe jumoe khut imbang imbang ni tempat kite mebahan;;Story/narrative
thkadisi keluarkhe ku te mangan malet nemu mangan sesade let imbang khut amek awok nggek bibik ninik tule te mecekhok tuso sopan malet nemu mengas memgas;;Culture/Tourism
ni nasehati dan ni sayangi jime si sayang bangku;;Story/narrative
malet sen ku kane aku nde pening takal ku kane malet me sen;;Story/narrative
malet gelem sen, ni putusken khamah, dan malet jajan;;Story/narrative
pepelin ngamuk,kekhine jeme si idah ne kekhine ganggu ne;;Story/narrative
dang sekalak jeme tong cut gat pisah khut okhang tue ne;;Story/narrative
Kene tading ken dak ni peduli Ken malet Kene peduli ken;;Story/narrative
melelo basket khut memsak ni khumah kite;;Story/narrative
nabuh Honda akhi khubat te kene mengasi orang tue;;Story/narrative
"ketike kalak ngeluakh ken kata"" si Mahan ate ku mesui kelok ato p songgang ne aku khut ngidah khang tue ku tangis";ketika orang mengeluarkan kata-kata yang membuat sakit hati ku sakit banget maupun bentaknya aku dan melihat orang tua ku menangis ;Story/narrative
senakhen me mengasi mak e ku khut pak eku;;Story/narrative
tentang mek ku kakhene te ngo masalah emek ku sikel tangis gat nakhen bahanine;;Story/narrative
hobi khuduk penangan si aku sukai khut hobi;;Story/narrative
kutenggo secukupne pelin, kuusaheken menghakhgai kekhine manusie tanpa membedeken wakhne kuling khut agame;;Instructions
hobi si ku biaseken atau pe si bue di lakuken kalak Edi main bola khut main hp;;Story/narrative
hobi q si Ndak toh jeme Edi me bersih bersih ni khumah khut memasak ni khumah;;Story/narrative
aku get ate ku jalan jalan khut imbang khut keluakhge;;Story/narrative
hobi aku khut kekhodok memasak nakan ni khumah;;Story/narrative
use ken pelin kalak si gam Aceh masih dirumah jurnal to;;Story/narrative
aku hobi membace walo v gat Mak get su ate ku;;Story/narrative
care aku nadi pekhak iyelah ni hibur khut ame ku, dan nuko jajan si bue;;Story/narrative
melolo khut imbang malet peduli kepada en kae pe tetap melelo;;Story/narrative
melelo kerene mlt ngee toh biding te tong cut;;Story/narrative
de hobi ku edi me menyanyi de ngo lot kybor kalak pekojeken ataupe senat;;Story/narrative
aku sangat jumpe khut ayank ku si ank Bandung ee;;Story/narrative
letun letun letun nangat ni mata khari Lawe mejile;;Story/narrative
mecehite cehitei Kalak si malet salah Kade v;;Story/narrative
tentang pegeluhen nde khut waktu mate pagi;;Story/narrative
hobi membantu khang tue melelo khut imbang khidi-khidi;;Story/narrative
tentang pengeluhen khut ke mateen kite selame ne;;Story/narrative
hal bage bahanen si aku hakhap Ken pas mude die;;Story/narrative
hal ne mak ku toh tah kae v mlt jelas Sitok pe;;Story/narrative
bage mengghosip khut imbang, hobi mangan mecokh;;Story/narrative
laus me luakh negri khut jeme si paling aku sayngi;;Story/narrative
aku nakhen Nisakiti,ni mengasi walo v gedi ku tekhime kekhine;;Story/narrative
kebiasaen si biase ku lakuken adalah membace ni khumah khut ajakhi ngek belajkh ni khumah;;Story/narrative
si ku etoh ni bages aku begar Edi me mengaji;;Story/narrative
pelin ni tading ken get sesade malet pet khut jeme tekhem;;Story/narrative
aku pe Ndak sanggup tadingken Kao sekhalak;;Story/narrative
mengenai sembahyang lime waktu khut membace;;Story/narrative
nangat metohse kune cekhite kalak di sini cekhitekenne;;Story/narrative
menyendikhi kakhene aku mapot su jeme tekhem mele aku kakhene khatak kekukhangen ku;;Story/narrative
nangat metohse khut cekhite klak dube ni kute;;Story/narrative
pul nukokh belanje nukokh baju , selep,kekhine lah nukokh kae si get ate ku pokokne;;Story/narrative
tentang agame khut tata kesopanen bagas nggeluh ni kutecane, patuh be khangtue;;Story/narrative
aku jeme ne jahat pepelin kene hukum ni sekolah;;Story/narrative
si pengen ku etoh mulai anak belagar aku edi me budaye khang alas;;Story/narrative
ngoh mangan Kao ma Kao pang ma Kao phot khut khalak;;Story/narrative
te aku get ate ku khut pramuka nangkih gunung langi khut melelow khut lajang lajang jinto kereta mobil tule khet ate aku mangan mecokhok te gedi amin get ku;;Story/narrative
tentang kae sini ukhuk ne awene sifatne khut perlakuenne;;Story/narrative
"mecekhite,trus ajakhi nggek""belajakh membace";;Story/narrative
kenalen dan buat cerita khut khut iye dan bahas Mase depan;kenalan dan bikin cerita dengan dia dan bahas masa depan ;Story/narrative
tentang kae si nmu ukhuk kite awene sifat ne ketekhe;;Story/narrative
sape jeme Babai mecekho tanyak kae hobi ne;;Story/narrative
cakhe nyimpan sen kune Kase mbokat khut cakhe sembahyang menukhut agame;;Story/narrative
mengenai hal perkembangan anak ku ni setiap bulan iye berkembang;;Story/narrative
si ku ingin tau i tentang aku belin jadi kae pot;;Story/narrative
aku seorang nak bekhu dakhi due Kalak saudakhe, sebuah nggek ku nak laki sebuah nak bekhu;;Story/narrative
mengenai tentang pembelajakhen umum bage kimia fisika dan lain laim;;Story/narrative
tentang dunie pekerjaan ni kutecane nde khut khut kehidupan ande;;Story/narrative
mende pekhasat malet mbue bage malet sombong;;Story/narrative
cidah ken kekukhangen kite te ngo toh ne kekukhangen te pot ye mekhimbang khut aku bekhati mende ate ne;;Story/narrative
si pot ni bages diri q Edi me mudah senyum khut jeme;;Story/narrative
tentang kae si nmu ukhuk kite awene sifat ne;;Story/narrative
te khalak bakhu kite tandai kite akhus mejile ni khadepen ne kahe melekat ni ate ne;;Story/narrative
